name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ003937.35+152910.7,9.905416667,15.48630556,,18.63,7.58,,,,,,,,,,,,d,Green2013,9.905616663494,15.4862718540745,0.01,0.005,90.0,2779838864175825024,9.90569028945,0.2342,15.486165523,0.1421,0.1922,0.1922,5202.913631633714,13.581233083337366,0.2653,16.479,0.648,-24.696,0.31,false,595.161,1.31373,18.75178,5.170546916662634,238.124,5.59503,19.40938,500.223,8.66821,18.01401,1.395371,,,0,,,,,,0.704378
SDSSJ004125.54+242133.8,10.35625,24.35938889,,18.41,7.02,,,,,,,,,,,,u,Green2013,10.3563664876647,24.3594412939395,0.006,0.004,90.0,2806470925585941504,10.35641011612,0.1805,24.35940207371,0.1113,0.4534,0.4534,2205.5580061755622,11.717592421047506,0.2166,9.231,0.415,-9.109,0.257,false,773.565,1.36704,18.467125,6.749532578952493,368.037,8.07874,18.936659,568.228,7.7817,17.875614,1.061045,,,0,,,,,,0.426066
SDSSJ004322.13+002843.7,10.84208333,0.478805556,,16.76,6.97,,,,,,,,,,,,dG,Green2013,10.8422129615436,0.4788106782087,0.003,0.002,90.0,2549113981244251136,10.84223467211,0.0842,0.47878449732,0.0524,0.2723,0.2723,3672.4201248622844,12.824761793300176,0.0915,5.042,0.166,-6.081,0.1,false,3550.33,2.2851,16.812693,3.987931206699823,1807.18,6.21264,17.208887,2550.85,10.89,16.245209,0.963678,,,0,5342.75,0.8857,0.4605,,,0.467021
SDSSJ004343.87-005356.2,10.9325,-0.898944444,,19.6,,,,,,,,,,,,,d,Green2013,10.9327834667874,-0.8989499456189,0.016,0.011,90.0,2530905652076145280,10.93284657286,0.5015,-0.89899556121,0.3574,-0.295,0.295,3389.8305084745766,12.650889920109186,0.5604,14.655,1.023,-10.595,0.715,false,237.43,0.834514,19.749529,7.0986390798908126,102.533,6.2931,20.324224,202.626,6.58243,18.995182,1.329042,,,0,,,,,,1.020547
SDSSJ004706.76+000748.9,11.77791667,0.13025,,18.48,8.42,,,,,,,,,,,,d,Green2013,11.7781370555528,0.1302784374549,0.007,0.005,90.0,2537021822944661632,11.77815689995,0.1837,0.13022336029,0.1556,0.6699,0.6699,1492.7601134497686,10.869950111044497,0.2099,4.609,0.467,-12.792,0.323,false,737.524,1.43425,18.518925,7.648974888955502,245.879,9.02571,19.374586,733.928,7.56679,17.597786,1.7768,,,0,,,,,,0.799964
SDSSJ004853.30-090435.7,12.22208333,-9.076583333,,19.46,8.8,,,,,,,,,,,,d,Green2013,12.2221014234923,-9.076583522172,0.013,0.008,90.0,2474101239252638336,12.22200387321,0.3414,-9.0770789265,0.287,2.1374,2.1374,467.8581454103116,8.350570974727873,0.476,-22.373,0.868,-115.062,0.545,false,293.589,0.850683,19.519016,11.168445025272128,99.856,6.12115,20.352953,310.947,9.53665,18.530203,1.82275,,,0,,,,,,0.064325
SDSSJ004857.54-003358.3,12.23958333,-0.566194444,,19.04,7.07,,,,,,,,,,,,uG,Green2013,12.2397422203856,-0.5662087827593,0.013,0.007,90.0,2536744436776901760,12.23975011924,0.3624,-0.56623992408,0.2386,-0.0476,0.0476,21008.403361344535,16.61196523639753,0.4014,1.834,0.848,-7.233,0.461,false,430.303,1.04359,19.10393,2.4919647636024678,232.597,6.5966,19.43488,308.709,8.11695,18.538048,0.896832,,,0,,,,,,0.574302
SDSSJ004905.98-003811.1,12.27458333,-0.636416667,,17.57,8.28,,,,,,,,,,,,u,Green2013,12.2749012406564,-0.6364476719531,0.005,0.003,90.0,2536731448795778816,12.27490416119,0.1565,-0.6364282141,0.1048,1.3336,1.3336,749.8500299940013,9.374872065900256,0.1715,0.678,0.348,4.519,0.206,false,1687.21,1.73589,17.62044,8.245567934099743,598.48,7.9133,18.408764,1576.33,8.19642,16.767803,1.640961,,,0,,,,,,1.149838
SDSSJ005424.17-010106.4,13.60041667,-1.018444444,,19.01,8.2,,,,,,,,,,,,d,Green2013,13.6007382443624,-1.0184373738023,0.015,0.008,90.0,2535875960029725184,13.60090007602,0.3727,-1.01850909574,0.226,-0.243,0.243,4115.22633744856,13.071968632008439,0.3453,37.581,0.969,-16.658,0.494,false,429.262,0.918058,19.106558,6.034589367991561,158.298,5.30727,19.852701,422.773,6.92447,18.196653,1.656048,,,0,,,,,,1.157765
SDSSJ010521.00-091742.8,16.3375,-9.295222222,,18.21,,,,,,,,,,,,,uE,Green2013,16.3375066733981,-9.2952328475873,0.005,0.003,90.0,2473299355974740992,16.33750756878,0.0985,-9.29523376618,0.0864,-0.0176,0.0176,56818.181818181816,18.77243666092925,0.1253,0.205,0.296,-0.213,0.2,false,2242.33,44.418,17.311619,-1.4608176609292514,570.62,41.8637,18.460522,2701.54,141.77,16.182892,2.27763,,,0,,,,,,0.045004
