,Nsigma,usigma,gsigma,starindex
185,11.11771957,101.9010672,121.8362266,291
186,4.222642689,82.42803975,54.3936701,292
187,8.962879064,34.48074849,19.63523031,293
188,34.86816703,121.8750363,112.2579262,294
189,19.90852222,41.52216674,14.20032244,296
190,4.771163528,5.944432075,1.187413251,297
191,7.61858269,56.49003553,49.01522798,298
192,7.175649749,86.92304083,246.1974115,300
193,9.556724625,44.44263499,28.39178399,303
194,3.445553213,53.5480309,334.3251754,305
195,14.59748709,25.59522716,69.83523048,306
196,4.757273117,64.21812919,106.6687192,307
197,4.504882874,10.17381531,10.40654899,308
198,26.01772908,16.34370638,46.20822024,309
199,13.88713206,17.78192186,179.202634,310
200,10.11421878,133.1473944,624.1577838,311
201,9.409142341,34.65335863,16.19793803,312
202,3.305495068,7.602312499,2.084884003,313
203,6.506053794,7.73660562,11.50711202,314
204,3.129351621,59.15000436,29.75214444,316
205,6.267856727,21.75783352,7.424783163,317
206,27.08880232,167.4057498,174.0446562,319
207,13.94184747,41.20777937,33.51485376,320
208,9.226320753,72.87908384,90.38625112,321
209,3.615142695,6.222526956,2.252168793,324
210,12.58860418,51.47174637,17.05687373,325
211,11.6291752,64.11887416,110.6449704,326
212,4.019049501,78.36665103,12.39175117,327
213,3.583509978,25.42657506,52.49264364,328
214,7.955712233,48.2590126,61.69104873,331
215,12.66817288,15.13941835,7.398969662,333
216,6.759511256,21.06913599,14.24088236,334
217,73.24415326,89.75529555,97.84360978,335
218,17.80971449,34.45152837,17.13881931,337
219,21.89223847,11.69339945,22.89715461,339
220,6.400108424,21.45041372,15.01097401,340
221,5.264516234,22.68716995,19.39524037,341
222,3.248956144,14.58213277,10.79037998,343
223,10.998243,107.3589653,119.9066645,344
224,4.964029752,44.93317382,19.87895782,348
225,7.333746311,268.2076126,186.6705534,350
226,7.892962805,7.470053556,34.7732973,351
227,7.629999798,18.82259336,14.84746601,352
228,6.344717485,18.02953286,18.33636099,353
229,3.112959622,63.31471858,22.22790741,354
230,5.513086655,13.89744824,15.10603316,355
231,3.684366624,7.550547886,9.639854441,356
232,3.262577216,7.031013154,4.189208039,357
233,10.49674183,63.96873204,88.23935035,358
234,3.684037192,41.27407404,51.81335687,359
235,12.14227173,68.90699293,27.9371002,360
236,6.155534169,47.78814181,51.87010802,361
237,4.171097969,20.55338088,19.54279307,362
238,4.55763601,6.009493826,5.020920852,364
239,11.32595138,11.20700682,3.614834018,365
240,14.34945599,32.27027744,63.24000136,367
241,29.87106521,39.554898,19.16087,368
242,19.25787127,72.23941566,31.34046578,369
243,7.467474251,76.70369872,71.95258589,372
244,4.093683392,28.79722554,59.01085335,374
245,7.167907082,3.622594409,3.190287982,375
246,17.3501461,33.31340964,8.371877892,376
247,5.407578574,8.60135574,11.16067365,377
248,9.517194451,64.65034915,10.99680592,378
249,12.30882799,72.82159679,95.27496274,379
250,3.112668426,12.25541902,1.699222593,380
251,11.32774524,29.94487098,14.1762071,382
252,4.198499558,8.919169024,6.600825282,383
253,3.41147036,8.531852642,5.414514619,384
254,18.32512516,38.24026883,26.33379138,385
255,6.586676739,72.91856909,95.6691806,386
256,9.947379895,48.60276669,42.86169766,387
257,6.924300391,27.9606781,24.13788863,388
258,36.51506608,99.86323059,28.41364256,389
259,4.310945511,8.238352724,44.86245143,391
260,12.45043059,61.42006786,45.54412612,393
261,4.282386647,5.509960231,0.450255173,395
262,5.476000807,23.72479639,10.43290725,396
263,5.224433839,13.43193825,56.7021917,397
264,4.26915441,113.0313156,106.4912717,399
265,4.984889978,6.032868133,1.301419141,400
266,10.26452019,98.7843723,316.9044442,403
267,4.04281723,19.83848147,8.529767005,404
268,6.48748181,15.27360485,8.0824195,405
269,3.546983505,11.7269104,10.58364438,406
270,5.086039889,17.59555106,12.64399084,409
271,4.092409308,35.39087181,78.74543585,410
272,22.6540472,44.8245106,9.825524926,412
273,3.975101207,25.86442219,14.95875577,413
274,7.284464844,17.22084476,14.04101505,414
275,22.89970755,107.2401499,30.47542852,415
276,13.27955475,63.045381,37.80713277,416
277,17.1910113,41.61991593,110.9925306,417
278,10.15702037,21.19318061,168.93657,418
279,12.85255249,46.22633036,17.92714237,419
280,3.65450713,32.91659447,6.249432498,420
281,4.910342919,6.590907989,1.444097911,422
282,9.355472721,40.56724854,83.14756862,423
283,10.03316291,73.012649,80.09229158,424
284,35.77202932,72.18962546,43.39842253,425
285,5.366589486,16.68306072,12.7514121,427
286,12.82214456,30.29115646,18.38186398,428
287,3.908193045,12.91592113,6.570239756,429
288,3.16502654,9.408604579,7.019319436,430
289,3.473955498,3.072566695,2.945378295,431
290,3.388555917,16.62953566,12.58391348,433
291,3.483603646,11.26843038,69.33952215,435
292,4.139067082,19.61319783,13.52007946,436
293,7.681779514,23.19090265,288.963622,437
294,46.58038601,99.44003069,129.1655881,438
295,3.940841229,3.954310457,7.124965995,440
296,13.50332819,94.03403851,68.48216145,441
297,11.21447479,33.52029984,14.55166728,442
298,5.779175463,25.9215836,10.9489146,443
299,22.40714451,29.83329168,15.50137243,444
300,5.644021936,13.26403814,7.122106843,447
301,8.141559141,16.09724533,186.3135058,449
302,3.130813287,23.87939632,20.13770223,450
303,7.29814217,43.03914337,19.16086969,451
304,12.20100404,63.53912906,237.0440943,452
305,17.75365527,27.36860099,97.45482886,453
306,12.0641926,22.25739826,8.903962234,454
