,N/uchisq,totchisq,reducedtotchisq,starindex,modelindex
74,0.07359225594556043,0.07359225594556043,0.07359225594556043,74.0,79.0
75,0.18817059075032788,0.18817059075032788,0.18817059075032788,75.0,24.0
76,0.36039063153088,0.36039063153088,0.36039063153088,76.0,24.0
77,0.41141555776855654,0.41141555776855654,0.41141555776855654,77.0,79.0
78,0.06046798559932126,0.06046798559932126,0.06046798559932126,78.0,25.0
79,3.385954967413822e-05,3.385954967413822e-05,3.385954967413822e-05,79.0,24.0
80,0.2429612312611437,0.2429612312611437,0.2429612312611437,80.0,83.0
81,0.03713068085206952,0.03713068085206952,0.03713068085206952,81.0,27.0
82,1.9758500223627877,1.9758500223627877,1.9758500223627877,82.0,82.0
83,0.6272401599560733,0.6272401599560733,0.6272401599560733,83.0,82.0
84,0.18169164026505308,0.18169164026505308,0.18169164026505308,84.0,78.0
