,col1,diffN,diffu,diffg
286,286,0.109488798,0.747642567,0.941960324
287,287,0.005634901,0.141522447,0.319521141
288,288,0.065923029,0.841971991,1.098109377
289,289,0.002009815,0.169883782,0.722741181
290,290,0.466605522,1.207698249,1.962197883
291,291,0.000943608,0.061452966,0.326707271
292,292,0.443012813,2.366558669,1.100196857
293,293,0.056870307,0.491867046,0.855321933
294,294,0.001306628,0.101989442,0.379638981
295,295,0.97886716,3.713819692,1.424456529
296,296,0.110420828,0.617565257,0.921526017
297,297,0.498181472,0.901448249,1.008749205
298,298,0.002056615,0.167523545,0.638841622
299,299,0.02893245,0.679869518,0.945208484
300,300,0.000295678,0.039285913,0.092974702
302,302,0.001402761,0.209752816,0.751123252
303,303,0.040088956,0.426930786,0.843100999
304,304,0.264354593,1.039847611,1.049268927
305,305,0.543864672,1.493197373,7.774463031
306,306,0.000556654,0.669960581,2.672376379
307,307,0.221537126,1.828065262,1.392982307
308,308,0.03217902,0.475100887,0.865810999
309,309,0.024840183,0.849468363,1.170237471
310,310,0.042753018,0.737953387,2.320416809
311,311,0.301047085,3.697979288,14.79717493
312,312,0.036189709,0.489324109,0.88064891
313,313,0.186785754,0.775920535,0.98079741
314,314,0.017141914,0.401101801,0.745627416
315,315,0.856419534,1.509077135,10.96506711
316,316,0.001910193,0.128324569,1.164416637
317,317,0.138639999,0.679361254,0.945292049
318,318,0.059492355,0.714328489,0.975017117
319,319,0.327468091,3.158624606,1.32060215
320,320,0.021329417,0.392733439,0.814789835
321,321,0.001761168,0.194506132,0.667004556
322,322,0.000607378,0.558329021,1.304974418
324,324,0.079714256,0.759260876,0.979256663
325,325,0.042314791,0.431110023,0.905740111
326,326,0.000731574,0.055099722,0.184735844
327,327,0.010402018,0.133854948,0.680420841
328,328,0.011759343,0.43793426,0.613219009
329,329,0.529393048,0.906914909,0.992114976
330,330,0.032482831,0.488948818,0.842179431
331,331,0.001557346,0.19992191,0.659082229
332,332,0.764809715,7.55992743,1.766324123
333,333,0.058478732,0.776894956,0.95911173
334,334,0.019221876,0.34016485,0.868835864
335,335,2.21E-05,0.173320212,0.279060007
336,336,0.039525804,0.584125671,0.888236418
337,337,0.102916715,0.619225562,0.873716225
338,338,0.196003168,0.964628694,1.00772174
339,339,0.086742124,0.870759102,1.084356283
340,340,0.126235727,0.644376742,0.917046182
341,341,0.050713398,0.498490057,0.892817776
342,342,0.513051983,0.831755786,0.92284424
343,343,0.335740811,0.785107488,0.94037008
344,344,6.71E-05,0.011183755,0.116493045
345,345,0.069966714,1.364395781,1.075153481
346,346,0.18477931,1.101379778,0.894109689
347,347,0.304753653,1.80619769,2.519873916
348,348,0.000817907,0.255061285,0.487328269
349,349,0.233755646,0.8873255,0.980153351
350,350,0.808114588,5.446561833,1.343859915
351,351,0.446059517,0.917437469,1.256219706
352,352,0.064480396,0.549238924,0.89059952
353,353,0.081053522,0.535018381,0.864892319
354,354,0.000458479,0.066950913,0.467698102
355,355,0.041554321,0.43671125,0.833040103
356,356,0.134633564,0.652215938,0.875697257
357,357,0.066827315,0.753899425,0.969132694
358,358,0.000379141,0.292987619,0.187282673
359,359,0.002278098,0.163655922,0.618224204
360,360,0.036872086,0.365340707,0.845613681
361,361,0.0068808,0.295760809,0.713354822
362,362,0.028449168,0.469928295,0.892002385
364,364,0.059303958,0.723202809,0.953755371
365,365,0.097804711,0.710970598,0.973364842
366,366,0.005502084,0.377315497,0.98268968
367,367,0.001373998,0.583888678,2.51443731
368,368,0.069603409,0.562820723,0.894112983
369,369,0.02733683,0.334647864,0.826805964
370,370,0.077431543,0.503580384,0.881650589
371,371,0.392834767,0.982120021,0.996064819
372,372,0.002105589,0.152234456,0.602374808
373,373,0.449387267,0.934755767,3.135970786
374,374,0.183307943,1.530473499,1.543511976
375,375,0.419643417,0.953288173,1.023506964
376,376,0.0610257,0.631804351,0.938313583
377,377,0.024163298,0.857399334,1.08223507
378,378,0.005324065,0.285454016,1.162056391
379,379,0.000255086,0.060996286,0.473490425
380,380,0.024214756,0.503273035,1.012520378
381,381,0.087172744,0.627079978,0.983002569
382,382,0.170415999,0.669035155,0.921659283
383,383,0.005384245,0.408313445,0.939203838
384,384,0.000257497,0.292031613,1.059844104
385,385,0.052493736,0.506907845,0.854473902
386,386,0.000705453,0.059746124,0.471311895
387,387,0.008025642,0.19422207,0.684182571
388,388,0.057685368,0.433426411,0.822145005
389,389,0.009292812,0.264178828,1.366381587
390,390,0.212925531,1.86010299,2.658219286
391,391,0.155416936,0.878593936,1.413199912
393,393,0.015436328,0.32115662,0.748313536
394,394,0.092640517,0.901534396,1.047144196
395,395,0.181851897,0.776677092,0.995023547
396,396,0.136670146,0.650374653,0.923127321
397,397,0.238735594,1.173199113,1.417798135
398,398,0.031083562,0.526202942,0.863064491
399,399,0.247973712,3.915045252,1.1961642
400,400,0.229251773,0.844411301,0.988013431
402,402,0.338061009,1.059887126,1.043188596
403,403,0.585171498,2.091810958,3.91880815
