,uchisq,gchisq,rchisq,ichisq,zchisq,totchisq,reducedtotchisq,umagdif,gmagdif,rmagdif,imagdif,zmagdif
42,,,,,,,,2.715135,0.462136000000001,0.7781289999999998,0.933135,1.7639990000000019
43,,,,,,,,2.750351,0.4914090000000009,0.8047399999999989,0.9586109999999994,1.7884600000000006
44,,,,,,,,2.7776010000000007,0.5141659999999995,0.8254359999999998,0.978396,1.8074720000000006
45,,,,,,,,2.8211190000000013,0.5502269999999996,0.8581350000000008,1.0096109999999996,1.8374520000000008
46,,,,,,,,2.8609540000000013,0.5831560000000007,0.8879619999999999,1.0380509999999994,1.8647790000000004
47,,,,,,,,2.876133000000001,0.5958520000000007,0.8994479999999996,1.0489630000000005,1.875248000000001
48,,,,,,,,2.891191000000001,0.6084510000000005,0.9108490000000007,1.0597949999999994,1.8856470000000005
49,,,,,,,,2.909127,0.6230930000000008,0.9240509999999986,1.0723520000000004,1.8977090000000008
50,,,,,,,,2.9284670000000013,0.6390270000000005,0.938428,1.0860029999999998,1.910821000000002
51,,,,,,,,2.947196,0.6544600000000003,0.9523530000000004,1.0992219999999993,1.9235240000000022
52,,,,,,,,2.974366,0.6768789999999996,0.9725320000000011,1.1183230000000002,1.941865
53,,,,,,,,3.0017519999999998,0.6991770000000006,0.9925759999999997,1.1373100000000012,1.9601199999999999
54,,,,,,,,3.0232400000000013,0.7167630000000003,1.008382000000001,1.1522579999999998,1.9744990000000016
55,,,,,,,,3.0361130000000003,0.7272110000000005,1.0177209999999999,1.1610570000000013,1.9829500000000007
56,,,,,,,,3.0487830000000002,0.7373510000000003,1.026776,1.1695989999999998,1.991163000000002
57,,,,,,,,3.060967999999999,0.7472300000000001,1.0356020000000008,1.1779080000000004,1.999148
58,,,,,,,,3.075768,0.759189000000001,1.046266000000001,1.187932,2.008781000000001
59,,,,,,,,3.0914660000000005,0.7718509999999998,1.0575419999999998,1.198519000000001,2.0189580000000014
60,,,,,,,,3.107271000000001,0.7844440000000006,1.06874,1.209033999999999,2.0290750000000006
61,,,,,,,,3.139532000000001,0.8101599999999998,1.091550999999999,1.2303899999999999,2.049626
62,,,,,,,,3.1745669999999997,0.8377850000000002,1.1160139999999998,1.2532770000000006,2.071689000000001
63,,,,,,,,3.217163000000001,0.8713800000000003,1.145563000000001,1.280704,2.098110000000001
64,,,,,,,,3.2799560000000003,0.9209069999999997,1.1891610000000004,1.3211080000000006,2.137189000000001
65,,,,,,,,3.349361,0.9754360000000002,1.2371039999999986,1.3653860000000009,2.1802170000000007
66,,,,,,,,3.455903000000001,1.0578979999999998,1.308795,1.4311150000000001,2.2438200000000013
67,,,,,,,,3.5598920000000014,1.137690000000001,1.3780850000000004,1.4949750000000002,2.305238000000001
