,Unnamed: 0,Nsigma,usigma,gsigma,starindex
124,124,11.86895594831586,24.47657024306565,11.935639741303206,173.0
125,125,10.835590080096347,44.50787731285527,22.634806276519694,174.0
127,127,3.3680444934571865,12.08277277635369,17.09425483358878,176.0
128,128,14.937960153561407,43.30008842894332,21.963492709737803,177.0
129,129,3.3292277946269637,21.842128359719432,22.038035671054114,180.0
130,130,15.689263738070771,58.42539941624344,93.7361849164588,185.0
131,131,12.297443088360485,63.29255355739689,38.33722009327953,186.0
132,132,49.52644396661832,19.40024439048181,76.74818111623533,187.0
133,133,3.466368101752572,11.65441164328829,13.723093954182175,188.0
136,136,24.336176109106635,15.558338665328035,18.85767812536471,191.0
137,137,3.8456629373851774,17.885416820935372,13.47237356256239,193.0
138,138,16.61031524181603,66.30042355198714,77.38271967666122,194.0
139,139,4.437845037507157,16.785189902829874,21.55944643804145,196.0
140,140,8.323933027191572,49.677167395263,225.5730070460202,197.0
142,142,4.926534723548272,35.54144796104304,43.163036677636335,201.0
143,143,8.852874244720443,85.21096563665877,10.390706573923715,202.0
144,144,3.0742207913908137,44.5509617435857,22.67015589425464,203.0
145,145,3.2114594344267027,40.98210928449559,44.637138474782645,204.0
149,149,3.369603198986726,28.23702623208993,60.143641890110906,211.0
150,150,4.051567311385194,93.61388688648354,88.37364186357316,215.0
151,151,3.752277543417229,30.809945264395047,36.8985018753062,217.0
152,152,7.694179879500576,73.96485065734669,83.71428479181426,219.0
153,153,4.353060114506215,60.287688995492594,84.8628199286775,221.0
154,154,4.154181030899113,51.12837212348201,28.304494709455607,222.0
155,155,5.039367933608969,9.365936810200832,79.17994410790268,226.0
157,157,13.12253518975218,34.98990853246872,16.391619475793654,229.0
159,159,49.72774235612752,85.27776701293686,255.69096331500648,231.0
161,161,8.612132527373726,51.96363944187226,94.456552533211,238.0
164,164,6.549183937844334,32.276491208300726,32.96356261753005,244.0
165,165,3.89462986990537,35.01743182970181,62.17606346319789,245.0
166,166,4.080267958674709,25.662255435583862,50.77039565476313,246.0
167,167,6.279856182143832,56.64168158931423,66.59473857388117,247.0
168,168,5.17514967734656,83.17060371293576,521.1855602077607,250.0
170,170,4.130744853345079,69.9958061759545,70.16489558337074,254.0
173,173,5.157262749556425,65.17125444046466,86.68082516183897,262.0
174,174,3.46270833090445,16.759347804936738,20.43410395571244,267.0
175,175,5.384911387159253,64.90611789493592,59.87101245351611,269.0
177,177,4.961233601930175,65.80120168038411,105.2214134561838,271.0
179,179,5.035568521172326,74.37168924247781,12.496060295800683,274.0
180,180,5.769252058397141,52.161135638792416,117.96601930357927,275.0
181,181,21.78721862972925,83.97122893973912,511.6138057520212,276.0
183,183,3.988547088999952,3.459040882973793,2.484710039441244,279.0
184,184,9.596003053235709,23.991762646822917,107.762706615434,280.0
185,185,27.529078592384508,64.66989411561532,23.36207990556338,282.0
187,187,3.680160521735228,5.072932205175582,6.301543532454156,286.0
188,188,15.823999390668284,77.67290340390856,92.35235674548426,287.0
189,189,4.143435343158656,56.32985913005052,50.17159204548577,289.0
190,190,11.117719565842238,101.90106721457902,121.83622658250582,291.0
191,191,8.962879063711815,34.480748490442,19.63523030744008,293.0
192,192,34.86816703143884,121.87503627430004,112.25792623132416,294.0
193,193,19.90852221596997,41.522166736471576,14.200322435102372,296.0
194,194,7.618582690451845,56.49003552787455,49.01522797648394,298.0
196,196,7.175649749110404,86.92304082917006,246.1974114880096,300.0
198,198,9.556724625442454,44.44263499059894,28.39178398679419,303.0
199,199,4.504882874023103,10.173815307066704,10.406548989301845,308.0
200,200,9.409142341206234,34.65335862782994,16.197938034258076,312.0
201,201,3.3054950683707576,7.6023124987758095,2.0848840028334736,313.0
202,202,6.506053793806839,7.736605619556658,11.507112016279512,314.0
203,203,6.267856727187379,21.75783352479721,7.424783162776489,317.0
205,205,13.941847471865518,41.20777936613752,33.51485376360117,320.0
206,206,9.22632075292876,72.87908384460577,90.38625111763903,321.0
207,207,3.615142695204989,6.2225269564862495,2.252168793338033,324.0
208,208,12.58860417580489,51.471746369763416,17.05687373218066,325.0
209,209,11.629175195598163,64.11887415661505,110.64497037145615,326.0
210,210,4.019049500792436,78.36665103027805,12.391751170264827,327.0
211,211,3.5835099784504685,25.426575063304178,52.49264364174245,328.0
214,214,7.955712232611093,48.2590126043899,61.69104873290699,331.0
215,215,12.668172882848124,15.13941834768356,7.398969662447447,333.0
216,216,6.759511255582913,21.06913599389861,14.240882357086951,334.0
217,217,73.24415325733963,89.75529554923956,97.8436097766968,335.0
219,219,17.809714490039728,34.451528374768955,17.138819306618423,337.0
220,220,6.40010842441975,21.45041371929288,15.010974007390884,340.0
221,221,5.264516233913252,22.687169953602577,19.39524037249333,341.0
223,223,3.24895614411741,14.58213276910003,10.790379984327805,343.0
224,224,10.99824300482862,107.35896528019984,119.90666447845167,344.0
225,225,4.964029751789507,44.93317382268216,19.878957821063864,348.0
227,227,7.629999797661727,18.82259335741861,14.847466007660026,352.0
228,228,6.344717485038233,18.02953286213524,18.336360989863056,353.0
229,229,3.112959622482435,63.3147185777797,22.22790741202727,354.0
230,230,5.513086655232832,13.897448235551382,15.10603315718918,355.0
231,231,3.6843666242408255,7.550547886102553,9.639854440926172,356.0
232,232,3.262577216307626,7.031013153558307,4.189208038735954,357.0
233,233,10.49674183123719,63.96873203705768,88.23935035445254,358.0
234,234,3.6840371924790727,41.27407404417627,51.81335686799607,359.0
235,235,12.142271734255653,68.9069929319336,27.93710020077332,360.0
236,236,6.155534168533408,47.788141810213325,51.87010802011213,361.0
237,237,4.171097968839519,20.553380877642343,19.542793073544875,362.0
238,238,4.5576360104830655,6.009493825702482,5.020920851997751,364.0
239,239,11.325951377986694,11.207006816411983,3.614834017824809,365.0
241,241,29.871065214620693,39.55489800100629,19.160869997731236,368.0
242,242,19.25787126787963,72.23941565607194,31.340465782615503,369.0
245,245,7.467474251162844,76.7036987239328,71.95258589277717,372.0
246,246,17.35014609509009,33.31340963804113,8.371877892281034,376.0
247,247,12.308827992295775,72.82159678957704,95.27496274105565,379.0
249,249,11.327745242393966,29.944870979563188,14.1762071014493,382.0
250,250,4.198499558201034,8.919169024363072,6.60082528170099,383.0
251,251,18.325125155771698,38.24026883493976,26.33379137859592,385.0
252,252,6.586676739383653,72.9185690889704,95.66918060368708,386.0
253,253,9.947379894652038,48.602766693510674,42.86169766307783,387.0
254,254,6.924300390602798,27.96067810250326,24.13788863481974,388.0
255,255,12.450430589357218,61.42006785599857,45.544126123301815,393.0
256,256,4.282386646536311,5.5099602307454285,0.4502551729736631,395.0
257,257,5.476000807164333,23.7247963893203,10.432907251799552,396.0
259,259,4.984889977679242,6.032868132535923,1.3014191410121487,400.0
260,260,4.042817230314046,19.838481472423016,8.529767004805223,404.0
261,261,6.487481809625492,15.273604853922429,8.082419500168625,405.0
262,262,3.546983504687877,11.72691039588677,10.583644380540616,406.0
263,263,5.086039888518633,17.595551060134117,12.643990844625478,409.0
264,264,4.092409307997672,35.390871810788155,78.74543585467954,410.0
266,266,22.654047201975548,44.82451060396538,9.82552492608693,412.0
267,267,3.97510120692908,25.86442218928461,14.95875576513109,413.0
268,268,7.28446484425758,17.220844756524848,14.041015046151283,414.0
269,269,22.899707551718738,107.2401498614189,30.47542851644584,415.0
270,270,13.279554749586175,63.04538099588306,37.80713276815529,416.0
271,271,17.19101129823339,41.61991593009545,110.99253063203707,417.0
272,272,4.910342919005097,6.5909079891904,1.4440979107624747,422.0
273,273,9.355472721196415,40.567248541041984,83.14756861616128,423.0
274,274,10.033162912048446,73.01264900142694,80.09229158083208,424.0
275,275,5.366589486468885,16.68306071685449,12.75141210447909,427.0
276,276,12.82214456422098,30.29115646188467,18.381863979500498,428.0
277,277,3.908193045160582,12.915921132291103,6.570239756331104,429.0
278,278,3.1650265397812007,9.408604578548749,7.019319435774342,430.0
279,279,3.388555916847234,16.629535663034936,12.5839134779819,433.0
