,diff
428,-0.08410480572587595
429,-0.01400899613423901
430,-0.014767982184353684
431,-0.012125563750732305
432,-0.00483437236138029
433,-0.006758508661710977
434,-0.003444188082675187
435,-0.007033500268999094
436,-0.01474588177732981
437,-0.02739614482335388
438,-0.31646155293455264
439,-0.006021676740806411
440,-0.014839198240654269
441,-0.1558419105879533
442,-0.04261646207770946
443,-0.022533120714503564
444,-0.2210189198163349
445,-0.005332603373893991
446,-0.004493530219654448
447,-0.013083915212302972
448,-0.00447231532270669
449,-0.030731943288703996
450,-0.008679115360516432
451,-0.030812537298457027
452,-0.0778297167521374
453,-0.06410951439711285
454,-0.030219957976161907
455,-0.006857849774719164
456,-0.016952062051832667
457,-0.19063145667605264
458,-0.010155483729791583
459,-0.05357799997580218
460,-0.02725752769785777
461,-0.049677976545744414
462,-0.11952519463914477
463,-0.006545916897340786
464,-0.008616240808606923
465,-0.032135484506206236
466,-0.16413162842400342
467,-0.05326693184702504
468,-0.006667145966507991
469,-0.0830292241559383
470,-0.006972052238760849
471,-0.1823529347320371
472,-0.07627798491848173
473,-0.01721372143129019
474,-0.026107254383066755
475,-0.0074333173099915975
476,-0.006108119122870533
477,-0.002205907699708886
478,-0.1497742446079247
479,-0.023854531450058662
480,-0.0056447748713118
481,-0.002333324994657715
482,-0.002958959574512142
483,-0.015472053899821378
484,-0.011773844069755183
485,-0.027801611808991152
486,-0.005264822751469425
487,-0.01380451941097342
488,-0.11919895066945328
489,-0.005019929890689596
490,-0.011685711213108187
491,-0.025514953367583738
492,-0.008760637141064138
493,-0.003717944637401232
494,-0.012217996980335856
495,-0.03984025745293054
496,-0.09669769919539996
497,-0.005283023317089371
498,-0.013729799772682691
499,-0.0028694610068976502
500,-0.00452051783560385
501,-0.008184487669002417
502,-0.011220367064854636
503,-0.013389711896665789
504,-0.014141447246993248
505,-0.010301160587219532
506,-0.031826333459757064
507,-0.017291867458646398
508,-0.005650937908266336
509,-0.01383189456053282
510,-0.011455782933478646
511,-0.004183453789181303
512,-0.004321983045740839
513,-0.0036601772321029386
514,-0.08025121670208321
515,-0.034159827015088545
516,-0.01218726332506423
517,-0.08713759483681045
518,-0.025995877540515768
519,-0.005686218089605802
520,-0.1243246548859454
521,-0.029453763448411767
522,-0.0032204310807223482
523,-0.018413395860087757
524,-0.004299112689610499
525,-0.00820799739052785
526,-0.0084252668436983
527,-0.003083710776579287
528,-0.039491872964321495
529,-0.00769727692240478
530,-0.006535295720505204
531,17.16645736287927
532,-0.008201592030194438
533,-0.020877408534963636
534,-0.02327414827777704
535,-0.005168050755411933
536,-0.03464604339337581
537,-0.010867965490471171
538,-0.004898126461373225
539,-0.0222265743948815
540,-0.0036443524283209625
541,-0.025395526316007052
542,-0.034276010322231557
543,-0.048811179215735995
544,-0.01196862763477275
545,-0.00960408122577275
546,-0.12379577950820844
547,-0.017038053562943557
548,-0.014169200118849846
549,-0.07951807993226426
550,-0.09669216382046719
551,-0.006948056670147263
552,2.5141537284226834
553,-0.015569779500106988
554,-0.03293404406742422
555,-0.021298651958068633
556,-0.004089316063382127
557,-0.27284814437192983
558,-0.00558451448198108
559,-0.005961182190430425
560,-0.0027712445143386897
561,-0.007039509111008951
562,-0.04020339725299971
563,-0.009199697020164484
564,-0.009899233920219304
565,-0.2085850179154303
566,-0.015019009333435782
567,-0.027683927437922515
568,-0.0058076053546528015
569,-0.014182050997413228
570,-0.0027024142306651057
571,-0.00015118706958961586
572,-0.011699403525051109
573,-0.10200662805687982
574,-0.012341398225334274
575,-0.018863250374226346
576,-0.0346097656911925
577,-0.04518193209656441
578,-0.003550693521642626
579,-0.03566260263404733
580,-0.02341399259182355
581,0.019789942657163183
582,-0.008012210879681582
583,-0.02307519343276446
584,-0.011933509520272115
585,-0.02239873701946898
586,-0.22823250934494826
587,0.20131608481268076
588,-0.11155228585155287
589,-0.07558823438686585
590,-0.009780294459191452
591,-0.14517385102572644
592,-0.006791056707887235
593,-0.04291072512132987
594,-0.020399197212114542
595,0.6342151771347085
596,-0.03559041215311271
597,-0.03868753315669635
598,-0.029552493870095682
599,-0.0054878726147556635
600,-0.028182127576419115
601,-0.01926771480319394
602,0.23892274209780998
603,-0.07103414400599715
604,-0.03939661453871966
605,-0.01615306581259275
606,-0.005246277979030974
607,-0.04742918141758326
608,-0.0041920690115355985
609,-0.005629807740017257
610,-0.05644023936191785
611,-0.13672168997580958
612,-0.10423073993311252
613,-0.04530003192287285
614,-0.027342346916248293
615,-0.020173854450663487
616,-0.06800681240378549
617,-0.018869214064200595
618,-0.012677290271393998
619,-0.008454671307053853
620,-0.012338281738512084
621,-0.010062345676358891
622,-0.019336328677789224
623,-0.0037059519089283027
624,-0.022107396131192437
625,-0.010937698811023551
626,-0.0037632400999766057
627,-0.011889247941532448
628,-0.011690978072291849
629,-0.06723786234912872
630,-0.0055924639529594915
631,-0.004760562890532368
632,-0.0018572111929274567
633,-0.00824632366533931
634,-0.007221826279949028
635,-0.004349225108296367
636,-0.00580789826384322
637,-0.04515894713161132
638,-0.010636654495479196
639,-0.051761334814938914
640,-0.050429688033537944
641,-0.1737772267393038
642,-0.0010437247070712813
643,-0.004215794958651678
644,-0.026188547961782452
645,0.17451119370338444
646,-0.0008559837435801734
647,-0.004181136791055246
648,0.00013267039287236018
649,-0.008090111169644573
650,-0.026653027997600724
651,-0.05850137102272651
652,-0.011844859039365425
653,-0.0034669123688870207
654,-0.016136780725559075
655,-0.016256192031163456
656,-0.03930638614386568
657,-0.026622574089256834
658,-0.004639473846883607
659,-0.019827391945081582
660,-0.007284773351117263
661,-0.032432620712025774
662,-0.03367175068213486
663,-0.11715876064306523
664,-0.04390810000343032
665,-0.02737441801941776
666,-0.021855340938667332
667,-0.0042584372945519925
668,0.03226122649213403
669,-0.005326970086740646
670,0.0015606070404240776
671,19.344720869239467
672,-0.0005738969023590603
673,-0.008572662487147739
674,-0.0013282621095732248
675,-0.003476681092223025
676,-0.007989944119921457
677,-0.0018117437710564615
678,-0.004221605472109262
679,-0.01894720741715201
680,-0.011666811904529697
681,-0.002191990515536168
682,-0.0049063794988554845
683,-0.09216284347971143
684,-0.058728643120689566
685,-0.048435571027710414
686,-0.004797037369516008
687,-0.0020744968261092603
688,-0.013456001702505228
689,-0.0020095678750062006
690,-0.057825285345402926
691,-0.11259341468793507
692,-0.01501744126769798
693,-0.022682437208741257
694,-0.01237298956937956
695,-0.028115948681830885
696,-0.02887626672954236
697,-0.013230589632525927
698,-0.0034787702225793386
699,-0.005204617110006526
700,-0.008583411996861249
701,-0.003239948256722691
702,-0.007862224327985499
703,-0.003466614847229703
704,-0.009939898113234449
705,1.066899094886999
706,-0.0037683098950145036
707,-0.013985129901669776
708,-0.045485183053676465
709,-0.004173187132955281
710,-0.015817787344165744
711,-0.023557421975236918
712,-0.0031429417658790596
713,-0.006360758448562645
714,-0.005605392973112558
715,-0.5786747885227641
716,-0.00862404511448064
717,-0.005562431901401983
718,-0.05459271235976747
719,-0.01249083290299571
720,-0.00216535872529245
721,-0.01551344341645309
722,-0.006294308318034128
723,-0.009475030540844727
724,-0.0020986945728962455
725,-0.007088331009893947
726,-0.05581158353130373
727,-0.1157597110474837
728,-0.029048333452753823
