name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin
J061240.78-044253.3,93.169941,-4.714831,13.43,12.25,11.67,,,,,,,,,,,,,Lamost_DR2
J061251.54+354533.9,93.214779,35.759444,14.85,13.96,13.53,,,,,,,,,,,,,Lamost_DR2
J061302.22+141555.6,93.259266,14.265452,12.29,11.36,11,,,,,,,,,,,,,Lamost_DR2
J061324.15+355900.5,93.350653,35.983494,15.06,14.01,13.57,,,,,,,,,,,,,Lamost_DR2
J061330.88+252911.7,93.378694,25.486594,17.28,16.07,15.5,,,,,,,,,,,,,Lamost_DR2
J061336.75-071533.0,93.403158,-7.259173,14.06,12.34,11.52,,,,,,,,,,,,,Lamost_DR2
J061343.50+452056.5,93.431259,45.349039,12.57,11.72,11.36,,,,,,,,,,,,,Lamost_DR2
J061350.42+115440.6,93.460121,11.91128,15.2,13.74,12.93,,,,,,,,,,,,,Lamost_DR2
J061411.71+293956.2,93.548798,29.665632,16.12,14.73,14.05,,,,,,,,,,,,,Lamost_DR2
J061425.09-043308.5,93.60457,-4.552375,14.86,13.47,12.97,,,,,,,,,,,,,Lamost_DR2
J061427.63+385630.5,93.615132,38.941819,14.93,14.24,13.95,,,,,,,,,,,,,Lamost_DR2
J061439.34+230717.8,93.663958,23.121621,17,15.47,14.61,,,,,,,,,,,,,Lamost_DR2
J061441.50+281700.4,93.672953,28.283448,15.6684,14.1443,13.161,,,,,,,,,,,,,Lamost_DR2
J061448.35-054119.7,93.701497,-5.688815,15.45,14.35,13.86,,,,,,,,,,,,,Lamost_DR2
J061454.82-015632.5,93.728447,-1.942382,16.17,15.14,14.68,,,,,,,,,,,,,Lamost_DR2
J061512.84-050815.6,93.803528,-5.137681,15.8,14.85,14.45,,,,,,,,,,,,,Lamost_DR2
J061514.37+124249.7,93.809875,12.713817,15.83,14.48,13.73,,,,,,,,,,,,,Lamost_DR2
J061524.84+212129.5,93.853523,21.358196,16.65,14.91,13.94,,,,,,,,,,,,,Lamost_DR2
J061541.68+360106.3,93.923667,36.018439,13.94,12.69,12.2,,,,,,,,,,,,,Lamost_DR2
J061555.07+233522.8,93.97947,23.58969,15.34,13.79,12.95,,,,,,,,,,,,,Lamost_DR2
J061600.46+224928.8,94.00195,22.82468,18.23,14.28,11.56,,,,,,,,,,,,,Lamost_DR2
J061638.96+373119.3,94.162358,37.522035,14.13,13.26,12.93,,,,,,,,,,,,,Lamost_DR2
J061640.83+370240.6,94.170129,37.044636,13.28,12.21,11.73,,,,,,,,,,,,,Lamost_DR2
J061655.46+354712.7,94.231112,35.786884,14.14,13.33,12.75,,,,,,,,,,,,,Lamost_DR2
J061657.50+112053.2,94.239589,11.348129,16.96,15.38,14.52,,,,,,,,,,,,,Lamost_DR2
J061753.78+131031.0,94.474087,13.175279,13.95,12.88,12.46,,,,,,,,,,,,,Lamost_DR2
J061801.05+241647.4,94.504411,24.27985,16.67,15.45,14.84,,,,,,,,,,,,,Lamost_DR2
J061807.16+265022.7,94.529857,26.839639,17.65,16.5,15.98,,,,,,,,,,,,,Lamost_DR2
