name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,Error Bar,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ004125.54+242133.8,10.35625,24.35938889,,18.41,7.02,,,,,,,,,,,,u,Green2013,10.35636649,24.35944129,0.006,0.004,90,2.80647E+18,10.35641012,0.1805,24.35940207,0.1113,0.4534,0.4534,2205.558006,11.71759242,0.2166,9.231,0.415,-9.109,0.257,FALSE,773.565,1.36704,18.467125,6.749532579,368.037,8.07874,18.936659,568.228,7.7817,17.875614,1.061045,15.86044012,,,0,,,,,,0.426066
SDSSJ004322.13+002843.7,10.84208333,0.478805556,,16.76,6.97,,,,,,,,,,,,dG,Green2013,10.84221296,0.478810678,0.003,0.002,90,2.54911E+18,10.84223467,0.0842,0.478784497,0.0524,0.2723,0.2723,3672.420125,12.82476179,0.0915,5.042,0.166,-6.081,0.1,FALSE,3550.33,2.2851,16.812693,3.987931207,1807.18,6.21264,17.208887,2550.85,10.89,16.245209,0.963678,17.10263981,,,0,5342.75,0.8857,0.4605,,,0.467021
SDSSJ004343.87-005356.2,10.9325,-0.898944444,,19.6,,,,,,,,,,,,,d,Green2013,10.93278347,-0.898949946,0.016,0.011,90,2.53091E+18,10.93284657,0.5015,-0.898995561,0.3574,-0.295,0.295,3389.830508,12.65088992,0.5604,14.655,1.023,-10.595,0.715,FALSE,237.43,0.834514,19.749529,7.09863908,102.533,6.2931,20.324224,202.626,6.58243,18.995182,1.329042,12.87552988,,,0,,,,,,1.020547
SDSSJ004706.76+000748.9,11.77791667,0.13025,,18.48,8.42,,,,,,,,,,,,d,Green2013,11.77813706,0.130278437,0.007,0.005,90,2.53702E+18,11.7781569,0.1837,0.13022336,0.1556,0.6699,0.6699,1492.760113,10.86995011,0.2099,4.609,0.467,-12.792,0.323,FALSE,737.524,1.43425,18.518925,7.648974889,245.879,9.02571,19.374586,733.928,7.56679,17.597786,1.7768,16.59250011,,,0,,,,,,0.799964
SDSSJ004853.30-090435.7,12.22208333,-9.076583333,,19.46,8.8,,,,,,,,,,,,d,Green2013,12.22210142,-9.076583522,0.013,0.008,90,2.4741E+18,12.22200387,0.3414,-9.077078927,0.287,2.1374,2.1374,467.8581454,8.350570975,0.476,-22.373,0.868,-115.062,0.545,FALSE,293.589,0.850683,19.519016,11.16844503,99.856,6.12115,20.352953,310.947,9.53665,18.530203,1.82275,15.65780002,,,0,,,,,,0.064325
SDSSJ004857.54-003358.3,12.23958333,-0.566194444,,19.04,7.07,,,,,,,,,,,,uG,Green2013,12.23974222,-0.566208783,0.013,0.007,90,2.53674E+18,12.23975012,0.3624,-0.566239924,0.2386,-0.0476,0.0476,21008.40336,16.61196524,0.4014,1.834,0.848,-7.233,0.461,FALSE,430.303,1.04359,19.10393,2.491964764,232.597,6.5966,19.43488,308.709,8.11695,18.538048,0.896832,14.71355006,,,0,,,,,,0.574302
SDSSJ004905.98-003811.1,12.27458333,-0.636416667,,17.57,8.28,,,,,,,,,,,,u,Green2013,12.27490124,-0.636447672,0.005,0.003,90,2.53673E+18,12.27490416,0.1565,-0.636428214,0.1048,1.3336,1.3336,749.85003,9.374872066,0.1715,0.678,0.348,4.519,0.206,FALSE,1687.21,1.73589,17.62044,8.245567934,598.48,7.9133,18.408764,1576.33,8.19642,16.767803,1.640961,16.10972004,,,0,,,,,,1.149838
SDSSJ005424.17-010106.4,13.60041667,-1.018444444,,19.01,8.2,,,,,,,,,,,,d,Green2013,13.60073824,-1.018437374,0.015,0.008,90,2.53588E+18,13.60090008,0.3727,-1.018509096,0.226,-0.243,0.243,4115.226337,13.07196863,0.3453,37.581,0.969,-16.658,0.494,FALSE,429.262,0.918058,19.106558,6.034589368,158.298,5.30727,19.852701,422.773,6.92447,18.196653,1.656048,12.23174005,,,0,,,,,,1.157765
SDSSJ010521.00-091742.8,16.3375,-9.295222222,,18.21,,,,,,,,,,,,,uE,Green2013,16.33750667,-9.295232848,0.005,0.003,90,2.4733E+18,16.33750757,0.0985,-9.295233766,0.0864,-0.0176,0.0176,56818.18182,18.77243666,0.1253,0.205,0.296,-0.213,0.2,FALSE,2242.33,44.418,17.311619,-1.460817661,570.62,41.8637,18.460522,2701.54,141.77,16.182892,2.27763,183.6337009,,,0,,,,,,0.045004
SDSSJ010717.90-091329.5,16.82458333,-9.224861111,,18.82,8.72,,,,,,,,,,,,d,Green2013,16.82461336,-9.224848896,0.009,0.007,90,2.47476E+18,16.82530179,0.3171,-9.225110457,0.2508,2.5251,2.5251,396.0239198,7.988607091,0.3441,157.825,0.612,-60.75,0.474,TRUE,542.573,1.13867,18.85222,10.86361291,188.44,12.0989,19.663458,594.358,10.605,17.8268,1.836659,22.70389984,,,0,,,,,,0.115413
