,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
36,270,9.69,0.2920845587032164,0.292079726827461,3.6471042475561566,5.039331185624434,-1.593875537450571,-4.0,-3.975191,37.703838,25.557446,0.0
37,271,9.69,0.29851975291089367,0.29851475325966886,3.647563751781038,5.0338022690024005,-1.5765207566175854,-4.0,-3.975226,37.629631,25.49939,0.0
38,272,9.69,0.306022137078311,0.3060169368576009,3.6482013136165783,5.0276846080998085,-1.5564903365911582,-4.0,-3.975263,37.53759,25.428936,0.0
39,273,9.69,0.31544139801984594,0.31543593976215023,3.649330535993616,5.0211187850275,-1.532197566524131,-4.0,-3.975278,37.404343,25.332113,0.0
40,274,9.69,0.32056915326338864,0.3205635541149753,3.6499561710490425,5.017738895275404,-1.5193095013228215,-4.0,-3.975285,37.332561,25.279984,0.0
41,275,9.69,0.32609944793365253,0.3260936958570612,3.6506404194816735,5.01421833005844,-1.505642842449159,-4.0,-3.975292,37.255581,25.224113,0.0
42,276,9.69,0.33188596052442104,0.3318800465145668,3.651363273658736,5.010676910066879,-1.4915628413127433,-4.0,-3.984442,37.176208,25.164736,0.0
43,277,9.69,0.3382463751824428,0.3382402795787736,3.65216982066358,5.006933089896768,-1.4763565068726832,-4.0,-3.975303,37.088203,25.102676,0.0
44,278,9.69,0.3448557928321008,0.3448495046265352,3.6530179518386894,5.003220424131408,-1.460826595723376,-4.0,-3.975306,36.997936,25.037279,0.0
45,279,9.69,0.35007729019081846,0.35007084647261555,3.653695790489087,5.0003705877619495,-1.448724415689144,-4.0,-3.984449,36.927235,24.984646,0.0
46,280,9.69,0.3552527584955412,0.35524615706839946,3.654375201127528,4.99765885477659,-1.4368986366469696,-4.0,-3.975305,36.858124,24.935385,0.0
47,281,9.69,0.3604330321169922,0.36042627068455135,3.6550619865022695,4.9950133442184805,-1.4251799562728096,-4.0,-3.984446,36.789734,24.883862,0.0
48,282,9.69,0.3626159206810068,0.36260907296671663,3.6553561363333618,4.994028228878103,-1.4204047372513051,-4.0,-3.984437,36.761055,24.862974,0.0
49,283,9.69,0.36439283039066866,0.3643859148068727,3.655596823946998,4.993214022488962,-1.4165134396024044,-4.0,-3.975286,36.73772,24.847153,0.0
50,284,9.69,0.36609978765871576,0.3660928142682013,3.655828098408053,4.99239000505412,-1.4127332079288522,-4.0,-3.984426,36.715267,24.829498,0.0
51,285,9.69,0.36819116182800327,0.3681841217433151,3.656112601484548,4.991455920940304,-1.4081925238169104,-4.0,-3.975281,36.687988,24.810751,0.0
52,286,9.69,0.3702644137833303,0.3702573146823613,3.6563946847985127,4.990512428154744,-1.403673774355083,-4.0,-3.975283,36.660999,24.790958,0.0
53,287,9.69,0.3726793296834425,0.3726721611423464,3.656724948696779,4.989433717674481,-1.3984454785652367,-4.0,-3.975285,36.629669,24.767971,0.0
54,288,9.69,0.3756595659591732,0.37565229068549383,3.6571368352855407,4.988138773363909,-1.3920620624148825,-4.0,-3.984496,36.591068,24.738514,0.0
55,289,9.69,0.37856897493662095,0.3785615992348524,3.657539340153368,4.986872516504988,-1.3858283413415946,-4.0,-3.984583,36.553558,24.710945,0.0
56,290,9.69,0.3813307246194765,0.381323256017688,3.6579223284000695,4.985662399478492,-1.3799048942547765,-4.0,-3.975573,36.518066,24.685938,0.0
57,291,9.69,0.3834174915746448,0.38340992864500073,3.658217908256207,4.984771506067941,-1.3754776622924776,-4.0,-3.985204,36.491081,24.664965,0.0
