col1,N/uchisq,g/rchisq,r/ichisq,i/zchisq,u/gchisq,totchisq,reducedtotchisq,totchisq2,reducedtotchisq2,starindex,modelindex,test2
27,39.2621235,5.644802314,71.79523118,66.94159862,352.8321781,138.7368298,138.7368298,536.4759337,134.1189834,27,465,0.966715065
28,287.8022204,1138.753657,29.29246339,1617.325268,829.6847461,1646.617731,1646.617731,3902.858354,975.7145886,28,1205,0.592556833
29,180.0767606,872.4421997,106.0817969,1078.402069,307.8943231,1184.483866,1184.483866,2544.897149,636.2242873,29,1205,0.537132084
30,4.76627409,23.70400429,0.887998119,0.106146328,20.93252375,0.994144447,0.994144447,50.39694658,12.59923664,30,284,12.67344668
31,0.520354038,0.282758783,0.964210714,0.024277256,0.446688734,0.98848797,0.98848797,2.238289525,0.559572381,31,482,0.566089217
32,25.11736814,72.06587128,0.232616734,0.707807048,89.70066105,0.940423782,0.940423782,187.8243243,46.95608106,32,255,49.93076732
33,22.58151848,55.54442233,0.952993445,0.050539662,150.9394673,1.003533107,1.003533107,230.0689412,57.51723531,33,454,57.3147362
34,7.243015359,20.82651201,0.382307639,0.633997286,50.19893564,1.016304925,1.016304925,79.28476794,19.82119198,34,109,19.50319387
35,9.753410227,8.665189319,1.438752482,4.612053905,17.81181727,6.050806387,6.050806387,42.2812232,10.5703058,35,527,1.746925141
36,3.892433453,0.952935683,0.954945564,0.042429113,7.279567338,0.997374676,0.997374676,13.12231115,3.280577788,36,246,3.289213037
37,2.842796827,17.06024822,0.666669653,0.3284221,32.47613088,0.995091753,0.995091753,53.37426768,13.34356692,37,105,13.40938349
38,46.99399573,0.049560221,0.890658993,0.137955236,107.2679353,1.028614228,1.028614228,155.3401055,38.83502637,38,257,37.75470462
39,6.967866394,120.1402748,0.78299031,0.235041914,61.1203537,1.018032225,1.018032225,189.2465271,47.31163178,39,294,46.4736092
40,3.312053929,20.24973333,0.189519547,0.817702315,18.1298854,1.007221862,1.007221862,42.69889452,10.67472363,40,276,10.598185
41,3.913014991,16.09845675,0.091647521,0.920423967,80.20143204,1.012071488,1.012071488,101.2249753,25.30624382,41,490,25.00440346
42,7.065825225,31.66669021,0.745047324,0.253626475,80.19900742,0.998673799,0.998673799,119.9301967,29.98254916,42,454,30.02236485
43,4.524507452,27.49004977,0.172893095,0.82690972,4.209247767,0.999802815,0.999802815,37.22360781,9.305901952,43,515,9.307737302
44,3.988979224,6.007821674,1.277772984,3.738132513,1.853126772,5.015905497,5.015905497,16.86583317,4.216458292,44,264,0.84061757
45,32.17298642,199.578733,0.001644397,1.001607749,443.4041877,1.003252147,1.003252147,676.1591592,169.0397898,45,454,168.4918297
46,6.39885552,80.50389374,0.409558531,0.575871294,83.11294985,0.985429825,0.985429825,171.0011289,42.75028223,46,280,43.38237098
47,6.375750759,18.33433275,0.576788887,0.37737757,14.80461114,0.954166457,0.954166457,40.4688611,10.11721528,47,277,10.60319738
48,12.35148904,62.95595511,0.632999269,0.315797199,52.34488577,0.948796468,0.948796468,128.6011264,32.1502816,48,256,33.88533019
49,6.626624053,0.275706099,0.643938211,1.801675113,19.99010207,2.445613324,2.445613324,29.33804555,7.334511388,49,535,2.999047853
50,486.9952836,0.073757562,0.114485583,14.09288523,1053.313339,14.20737082,14.20737082,1554.589751,388.6474377,50,1221,27.35533849
51,4.277616242,0.357571242,0.999446959,0.012949438,19.94133238,1.012396396,1.012396396,25.58891626,6.397229064,51,1210,6.318897506
52,5.628515212,56.46996774,0.366680023,1.00165072,137.2962312,1.368330743,1.368330743,200.7630449,50.19076122,52,1209,36.6802847
53,3.185196132,0.265581883,0.914121612,0.114034121,5.361049699,1.028155733,1.028155733,9.839983447,2.459995862,53,108,2.392629621
54,0.18186092,8.051561544,0.869822562,0.128083689,0.108301366,0.997906251,0.997906251,9.339630081,2.33490752,54,545,2.339806488
55,0.000764686,0.663448501,1.018067257,2.33E-05,0.001789051,1.018090515,1.018090515,1.684092753,0.421023188,55,552,0.413542001
56,0.074189893,3.484351355,0.916351591,0.078875371,0.008240767,0.995226963,0.995226963,4.562008977,1.140502244,56,336,1.145972011
57,13.22204244,7.780770062,0.646253486,0.34004076,19.12850955,0.986294246,0.986294246,41.1176163,10.27940407,57,270,10.42224885
58,66.89302346,3.266757077,0.683194812,0.251316085,66.09541366,0.934510897,0.934510897,137.1897051,34.29742627,58,113,36.70093777
59,13.75369808,32.52740752,0.926375296,0.075747058,56.39163069,1.002122355,1.002122355,103.6748586,25.91871466,59,247,25.86382246
60,7.328148267,26.55904177,0.535974093,0.396375606,53.20177299,0.932349699,0.932349699,88.02131272,22.00532818,60,248,23.60201134
61,28.9126739,28.30027038,0.152628632,0.836179895,59.83979985,0.988808528,0.988808528,118.0415527,29.51038817,61,280,29.84439084
62,7.901846867,10.2344106,0.012064017,1.000034652,9.115407166,1.012098669,1.012098669,28.2637633,7.065940825,62,452,6.981474277
63,20.99214082,27.21138902,0.847339164,0.142125303,178.6627263,0.989464467,0.989464467,227.8557206,56.96393015,63,265,57.57046566
64,341.4196871,17285.69633,1784.030124,12011.53397,564025.4821,13795.56409,13795.56409,595448.1622,148862.0405,64,122,10.79057294
65,190.9313346,7230.4604,432.984537,5410.791592,445634.5745,5843.776129,5843.776129,458899.7423,114724.9356,65,114,19.63198676
66,7.189580079,7.293115013,0.842030432,0.139409668,54.86386986,0.9814401,0.9814401,70.32800505,17.58200126,66,279,17.91449245
67,12.05247943,88.0987857,0.859195283,0.12877125,99.11332874,0.987966532,0.987966532,200.2525604,50.0631401,67,281,50.67291093
68,6.491751323,0.024936382,0.885566599,0.106979985,19.05826539,0.992546584,0.992546584,26.56749968,6.64187492,68,114,6.691751324
69,2.058034448,2.879668885,0.242521657,0.784939018,4.231678455,1.027460675,1.027460675,10.19684246,2.549210616,69,246,2.481078525
70,25.98914433,0.001029774,0.525020019,0.529478054,139.6326682,1.054498073,1.054498073,166.6773404,41.6693351,70,252,39.51580013
71,15.22349301,14.90720355,0.929231525,0.018913858,61.55679869,0.948145384,0.948145384,92.63564063,23.15891016,71,267,24.42548427
72,840.1852657,249.4639259,0.689627818,0.309565597,924.2054748,0.999193415,0.999193415,2014.85386,503.7134649,72,439,504.1200804
73,3.983525397,20.19835568,0.90593067,1.092028438,152.2758232,1.997959108,1.997959108,178.4556634,44.61391584,73,1208,22.32974422
74,4.014642882,19.04216213,0.580719381,0.43160113,21.63077454,1.012320511,1.012320511,45.69990006,11.42497502,74,403,11.28592663
75,12.37149165,6.179788947,0.641965308,0.359952795,30.3471405,1.001918103,1.001918103,49.9003392,12.4750848,75,268,12.45120211
76,10.25460582,34.37093944,2.395286016,4.80857734,82.6731404,7.203863355,7.203863355,134.502549,33.62563725,76,1211,4.667722803
77,8.366673453,54.40323664,0.525886502,0.480166956,64.70716108,1.006053458,1.006053458,128.4831246,32.12078116,77,276,31.92750932
78,8.679844723,35.12912876,0.463790115,0.542594631,60.58603546,1.006384746,1.006384746,105.4013937,26.35034842,78,258,26.1831755
79,18.48614303,32.61401338,0.418367956,0.671100148,104.3149992,1.089468105,1.089468105,156.5046237,39.12615593,79,467,35.91308066
80,4.041266589,42.3966195,0.748879555,0.282149036,40.04595009,1.03102859,1.03102859,87.51486476,21.87871619,80,262,21.22028079
81,6.647445812,0.177362837,0.072637056,0.903355373,21.53176134,0.975992429,0.975992429,29.33256242,7.333140605,81,259,7.513522019
82,13.8028369,0.233840077,0.649820414,0.338519779,74.39004826,0.988340193,0.988340193,89.41506543,22.35376636,82,244,22.61748183
83,9.134337333,0.418321918,0.750155079,0.33529631,19.86478406,1.08545139,1.08545139,30.5028947,7.625723676,83,269,7.025393996
84,7.24235521,19.28561386,1.759949819,4.367786854,4.995669471,6.127736673,6.127736673,37.65137522,9.412843804,84,259,1.536104488
85,15.96674842,119.8635781,0.137149943,3.09928985,228.8643143,3.236439792,3.236439792,367.9310806,91.98277015,85,1209,28.42097368
86,19.15862421,104.0141932,0.394563391,0.614950817,271.0030335,1.009514208,1.009514208,395.1853651,98.79634128,86,1205,97.86523115
87,34.35466432,1.129880911,0.551071299,0.42920136,13.89765443,0.980272658,0.980272658,50.36247231,12.59061808,87,427,12.84399597
88,15.20635985,52.21270136,0.549798643,0.47634787,85.48147832,1.026146513,1.026146513,153.926686,38.48167151,88,251,37.50114728
89,4.953571799,14.55486608,0.665555887,0.370987392,95.0850644,1.036543279,1.036543279,115.6300456,28.90751139,89,1211,27.88837858
90,5.721665058,1.499162069,1.364709868,2.329228914,0.949933925,3.693938782,3.693938782,11.86469983,2.966174958,90,440,0.80298433
91,7.170971672,313.9601537,24.64930407,67.13390638,81.40413209,91.78321045,91.78321045,494.3184679,123.579617,91,1199,1.346429443
92,0.226776636,5.432734948,0.049894412,0.95811311,0.20267277,1.008007522,1.008007522,6.870191876,1.717547969,92,335,1.703903921
93,11.06958013,43.84158392,0.693039732,0.267459054,29.70400627,0.960498786,0.960498786,85.5756691,21.39391728,93,259,22.27375774
94,0.007771049,0.22275738,0.990754743,0.009027502,0.109724099,0.999782245,0.999782245,1.340034773,0.335008693,94,84,0.335081659
95,2.202671184,3.875530323,1.016495578,0.002777738,7.027442977,1.019273316,1.019273316,14.1249178,3.53122945,95,240,3.464457859
96,10.34070678,14.78832075,0.96580526,0.017537423,13.61224115,0.983342683,0.983342683,39.72461136,9.931152841,96,430,10.09938144
97,5.546110044,16.97651085,0.700957758,0.369778138,18.05988856,1.070735896,1.070735896,41.65324536,10.41331134,97,302,9.72537801
98,56.69544797,60.88666286,0.947733142,0.095272063,180.4445763,1.043005205,1.043005205,299.0696924,74.76742309,98,255,71.68461168
99,2.734087905,12.98923593,0.240858154,2.820881433,5.4973809,3.061739587,3.061739587,24.28244432,6.07061108,99,79,1.982732661
100,2.090740118,4.392136538,0.540466882,0.416030959,11.74762886,0.956497841,0.956497841,19.18700336,4.796750839,100,114,5.014910262
101,27.5391279,224.2230703,0.16294461,1.135006397,84.93455751,1.297951006,1.297951006,337.9947067,84.49867667,101,1209,65.10159187
102,20.999936,7.792710217,1.048316239,0.005069138,103.9084691,1.053385376,1.053385376,133.7545007,33.43862518,102,248,31.74396183
103,17.64800105,65.62381735,0.456494954,0.489613082,103.6651391,0.946108036,0.946108036,187.8830656,46.97076639,103,107,49.64630319
104,16.73008186,65.62949363,0.278695747,0.747913717,117.9427004,1.026609463,1.026609463,201.3288853,50.33222133,104,100,49.02762259
105,2.716828481,32.39801469,0.210167662,0.779693317,31.89015508,0.989860979,0.989860979,67.99485923,16.99871481,105,274,17.1728305
106,4.005734388,0.238306312,0.05596339,0.975156157,3.777891262,1.031119547,1.031119547,9.053051509,2.263262877,106,253,2.194956814
107,5.314240877,19.87910412,0.000326455,0.909721676,33.2464694,0.910048132,0.910048132,59.34986253,14.83746563,107,249,16.30404493
108,7.035605291,1.434208319,0.135551496,0.848473307,9.769615311,0.984024803,0.984024803,19.22345372,4.805863431,108,249,4.883884447
109,1.275110238,2.071473207,0.916990229,0.082738512,0.485500469,0.999728741,0.999728741,4.831812655,1.207953164,109,434,1.208280921
110,6.681275509,33.53774505,0.768905668,0.267732417,34.46467669,1.036638085,1.036638085,75.72033533,18.93008383,110,258,18.26103449
111,9.735392254,62.43168028,0.221180289,0.781064746,76.29497086,1.002245035,1.002245035,149.4642884,37.36607211,111,102,37.28237187
112,10.58343217,2.678160622,0.862101165,0.108499824,13.51680455,0.970600989,0.970600989,27.74899834,6.937249584,112,252,7.147375351
113,21.10743725,84.11117959,0.981870855,0.005643728,263.9987616,0.987514583,0.987514583,370.204893,92.55122326,113,1208,93.72137365
114,17.90598987,16.09877008,0.700659043,0.316314545,24.06093855,1.016973588,1.016973588,59.08267209,14.77066802,114,255,14.52414123
115,4.943495382,67.29707438,0.872712678,0.096412342,46.56858735,0.96912502,0.96912502,119.7782821,29.94457053,115,1205,30.89856306
116,29.59249726,68.40188674,0.300281363,0.745734695,71.750208,1.046016057,1.046016057,170.7906081,42.69765201,116,114,40.81930838
117,28.78793611,4.53871532,50.28826356,82.53436412,311.7261393,132.8226277,132.8226277,477.8754184,119.4688546,117,528,0.899461611
118,17.68377164,20.37325488,0.000646758,0.954417962,104.0063979,0.95506472,0.95506472,143.0184891,35.75462228,118,279,37.43685798
119,3.049710732,9.050301482,0.885685787,0.112828253,15.88119603,0.99851404,0.99851404,28.97972228,7.24493057,119,444,7.255712268
120,5.576506013,1103.408117,538.121085,241.5639122,425.6022746,779.6849971,779.6849971,2314.271895,578.5679737,120,1193,0.742053491
121,9.156978986,188.769644,0.192752032,0.805454829,224.9174077,0.998206861,0.998206861,423.8422375,105.9605594,121,300,106.1509027
122,8.281084713,127.0254808,0.193883353,0.810722758,113.3671714,1.004606111,1.004606111,249.6783431,62.41958577,122,460,62.13339248
123,3.710586034,81.78691002,7.937472095,13.46661394,38.94952022,21.40408603,21.40408603,145.8511023,36.46277558,123,1201,1.70354275
124,6.059079472,1.223589457,0.125980688,0.8491242,26.29270981,0.975104888,0.975104888,34.55048363,8.637620907,124,491,8.858145431
125,4.892111827,5.68472384,0.817121486,2.009398705,10.32165524,2.826520191,2.826520191,23.7250111,5.931252776,125,266,2.098429296
126,4.859035517,1.310523794,0.750196429,0.249982142,32.55611406,1.000178572,1.000178572,39.72585194,9.931462985,126,284,9.929689824
127,8.518376392,63.23410346,0.783562769,0.235875661,80.36678476,1.019438429,1.019438429,153.138703,38.28467576,127,97,37.55467193
128,4.66654785,31.30799512,0.992239203,0.013975433,42.76567636,1.006214636,1.006214636,79.74643397,19.93660849,128,285,19.81347495
129,14.73692983,49.53788902,0.848226738,0.166759708,63.42261194,1.014986445,1.014986445,128.7124172,32.17810431,129,270,31.70298919
130,3.015804468,3.745373571,0.588641057,5.513839355,16.60912184,6.102480413,6.102480413,29.47278029,7.368195072,130,1207,1.207409868
131,6227.315072,1127.105996,51.77383291,277.5458343,7010.016939,329.3196672,329.3196672,14693.75767,3673.439418,131,54,11.15463115
132,416.0419567,191.9003031,0.656603583,0.285537176,594.3230538,0.942140759,0.942140759,1203.207454,300.8018636,132,326,319.2748648
133,5.152705584,30.74234264,0.390919004,2.86194229,7.101488541,3.252861294,3.252861294,46.24939806,11.56234952,133,95,3.554516615
134,55.09830061,1386.010797,7.966757185,20.15092821,110.6542651,28.11768539,28.11768539,1579.881048,394.970262,134,78,14.04704038
135,71.13992105,296.0426271,2.386710807,12.78878707,387.4642669,15.17549788,15.17549788,769.8223129,192.4555782,135,79,12.68199434
136,335.9929101,783.9918026,53.52526802,320.5699426,2138.800858,374.0952106,374.0952106,3632.880781,908.2201952,136,1191,2.427778195
137,12.61736659,439.9984743,153.7266515,252.3296454,38.64822705,406.0562969,406.0562969,897.3203648,224.3300912,137,51,0.552460565
138,29.11531251,236.6299425,2004.239565,1379.876999,333.9921405,3384.116565,3384.116565,3983.85396,995.96349,138,487,0.294305315
139,465.9696264,216.8097476,0.948104863,0.061960604,225.7724797,1.010065467,1.010065467,909.5619191,227.3904798,139,117,225.1244966
140,10.29241155,75.69498561,0.132688639,0.889449761,323.0357958,1.0221384,1.0221384,410.0453314,102.5113328,140,290,100.2910495
141,21.25457056,1.391784435,13.74776097,19.4312683,0.752572924,33.17902927,33.17902927,56.57795719,14.1444893,141,479,0.426308111
142,10.39365942,50.77334596,0.806307621,0.175551932,128.9493613,0.981859553,0.981859553,191.0982262,47.77455656,142,108,48.65722027
143,345.1374641,3774.579357,6.482235399,2545.000488,12109.34692,2551.482724,2551.482724,18780.54647,4695.136617,143,1166,1.840160066
144,39.01364719,103.223467,0.160751307,1.945919272,127.737202,2.106670579,2.106670579,272.0809868,68.02024671,144,94,32.28803183
145,89.17971183,23385.1804,1735.626748,138988.3734,415801.6307,140724.0001,140724.0001,579999.991,144999.9977,145,1131,1.030385703
146,3.053414929,25.04830263,0.579330905,0.249592338,0.196494597,0.828923243,0.828923243,29.12713539,7.281783849,146,102,8.78462983
147,52.12673982,0.779478887,0.000162473,1.015892901,44.73132973,1.016055374,1.016055374,98.65360381,24.66340095,147,233,24.27367797
148,5.335660321,560.2029756,18.69327779,4310.849738,27.96249173,4329.543015,4329.543015,4923.044143,1230.761036,148,86,0.284270426
149,13.40018292,310.5501035,254.6022725,79.27182107,945.1821112,333.8740935,333.8740935,1603.006491,400.7516228,149,560,1.200307633
150,8.537194313,584.1738292,376.8453167,1230.314993,8371.542479,1607.16031,1607.16031,10571.41381,2642.853453,150,1206,1.644424291
151,14.12764216,510.793053,7.275832086,21.31408618,20.3202109,28.58991826,28.58991826,573.8308243,143.4577061,151,11,5.017772516
152,5.859528299,1159.313544,1826.248629,680.0982529,948.040651,2506.346882,2506.346882,4619.560605,1154.890151,152,559,0.460786238
153,124.9693218,291.1511607,1700.913861,640.5709073,885.2253109,2341.484768,2341.484768,3642.830561,910.7076403,153,548,0.388944508
154,29.36752777,0.010161943,1.732506274,3.124226065,31.09713811,4.856732338,4.856732338,65.33156015,16.33289004,154,274,3.362938062
155,14.49582247,513.692708,12.39435129,10.12048071,722.0089002,22.51483201,22.51483201,1272.712263,318.1780657,155,89,14.13193159
156,14.10000839,22.84345015,0.823783023,1.717021606,123.2525264,2.540804629,2.540804629,162.7367896,40.6841974,156,465,16.01232812
157,470.087452,265.1829987,21.8559475,503.7228978,162.9662181,525.5788453,525.5788453,1423.815514,355.9538785,157,113,0.677260665
158,51.53788873,41327.42738,9.153570327,1032.877822,415.0821491,1042.031392,1042.031392,42836.07881,10709.0197,158,96,10.27706054
159,8.603152603,5.095170629,0.224296336,0.93138763,39.19986391,1.155683965,1.155683965,54.0538711,13.51346778,159,247,11.69304774
160,3.282175424,14.69302634,0.780768273,0.177801767,17.48463346,0.95857004,0.95857004,36.41840526,9.104601316,160,256,9.498107528
161,5.397773996,7.82963017,0.728515069,1.208611187,55.50756492,1.937126255,1.937126255,70.67209534,17.66802383,161,444,9.120739439
162,160.5510198,27850.05008,339.7231362,2857.316514,98494.45466,3197.03965,3197.03965,129702.0954,32425.52385,162,118,10.14235899
163,126.4162237,118.8274227,0.111465146,3.882449651,897.3854964,3.993914797,3.993914797,1146.623058,286.6557644,163,1206,71.77312962
164,31.80517714,800024.9608,346.3311604,4984.349142,1427.017855,5330.680303,5330.680303,806814.4641,201703.616,164,1206,37.83825039
165,108.7409371,69.62667871,0.769671324,0.197533549,610.9711676,0.967204873,0.967204873,790.3059883,197.5764971,165,1211,204.275746
166,0.040892637,605.2582984,36.91045292,76.07161917,87.39619456,112.9820721,112.9820721,805.6774577,201.4193644,166,249,1.782755093
167,9.000152488,67.39675301,0.596255971,0.185868097,76.74935764,0.782124068,0.782124068,153.9283872,38.4820968,167,99,49.20203631
168,5.481284752,36.61624403,0.84887918,0.084183738,63.10327501,0.933062918,0.933062918,106.1338667,26.53346668,168,464,28.43695334
169,7.331222185,15.40000506,1.829621364,4.97297632,30.54554342,6.802597685,6.802597685,60.07936835,15.01984209,169,478,2.20795684
170,15.56261372,71.14860031,0.971908637,0.009875263,252.0273439,0.9817839,0.9817839,339.7203418,84.93008546,170,398,86.5058853
171,40.58908063,371.7674799,295.7750731,2183.612741,5982.777012,2479.387814,2479.387814,8874.521387,2218.630347,171,1207,0.894829899
172,13.33498457,39.03675633,1.951038472,2.987526932,165.3776484,4.938565404,4.938565404,222.6879547,55.67198868,172,473,11.27290703
173,82.0904931,35.61487427,0.099988979,0.949533392,210.54066,1.049522371,1.049522371,329.2955497,82.32388744,173,251,78.43938321
174,69.76689131,128.083614,0.081727633,0.941088316,488.095889,1.022815949,1.022815949,686.9692103,171.7423026,174,251,167.9112481
175,5.641224001,125.7888885,0.164747839,0.806802075,116.3815904,0.971549914,0.971549914,248.7832528,62.19581319,175,286,64.01710534
176,8.042867259,90.18949836,0.484032058,0.507771563,54.98630347,0.991803621,0.991803621,154.2104727,38.55261818,176,99,38.87122144
177,135.8426099,88.60306695,0.370914727,0.792088549,842.3814578,1.163003276,1.163003276,1067.990138,266.9975345,177,1207,229.5759093
178,49.56461979,10419.6344,199.2727593,956.7941548,3472.443384,1156.066914,1156.066914,15097.70932,3774.42733,178,1205,3.264886559
179,11.81872692,48058.45143,3.670980428,1252.032969,4.700277922,1255.703949,1255.703949,49330.67438,12332.6686,179,55,9.821318634
180,8.114312055,121.4187814,0.568655822,0.431330856,243.3473584,0.999986678,0.999986678,373.8804386,93.47010965,180,1206,93.47135488
181,67.01096352,29493.77984,908.6520304,3188.072347,64821.17146,4096.724377,4096.724377,98478.68664,24619.67166,181,120,6.00959923
182,48.18414491,1609.690263,317.2124497,3892.618626,7263.992357,4209.831076,4209.831076,13131.69784,3282.92446,182,94,0.779823323
183,8.465753006,293.4228469,47.63428058,77.96502189,253.0692738,125.5993025,125.5993025,680.5571762,170.139294,183,472,1.354619737
184,1.68619869,1441.210314,22.93468686,171.688738,1174.57608,194.6234249,194.6234249,2812.096018,703.0240045,184,1206,3.612227074
185,153.9800494,677.9485099,66.79749982,960.82088,892.3941526,1027.61838,1027.61838,2751.941092,687.9852729,185,602,0.669494908
186,105.4774483,367.4356131,1.133437242,0.056540195,1393.034079,1.189977437,1.189977437,1867.137118,466.7842795,186,1207,392.2631347
187,376.0346522,751.303998,584.213771,56.0291429,69.92105458,640.2429139,640.2429139,1837.502619,459.3756547,187,5,0.71750213
188,8.294979394,56.03024986,0.509984768,0.492452797,63.18799899,1.002437565,1.002437565,128.5156658,32.12891645,188,262,32.05079058
189,5.939259385,2.849871365,0.885932707,0.007717347,85.59485742,0.893650054,0.893650054,95.27763822,23.81940956,189,543,26.65406828
190,5.389778744,3.206336409,0.053381408,0.932945185,70.53302111,0.986326592,0.986326592,80.11546286,20.02886571,190,468,20.30652511
191,312.0895714,88.90300609,33.76864538,1736.786355,147.7842528,1770.555,1770.555,2319.33183,579.8329575,191,1206,0.327486555
192,3.872853504,8726.799041,77.96630489,543.2047313,631.4840045,621.1710361,621.1710361,9983.326935,2495.831734,192,1205,4.017946087
193,10.07005881,45.3762218,0.290262545,0.737554677,131.5471619,1.027817222,1.027817222,188.0212597,47.00531493,193,265,45.73314587
194,177.5716689,597.1343349,86.9714975,1209.826654,1064.509416,1296.798151,1296.798151,3136.013571,784.0033929,194,738,0.604568562
195,41.21390928,145.7582936,1673.832986,20309.23103,192148.8829,21983.06401,21983.06401,214318.9192,53579.72979,195,75,2.437318554
196,12.6451929,116.2025487,0.929116524,0.10314989,137.9180193,1.032266414,1.032266414,267.7980273,66.94950683,196,272,64.85681017
197,56.31028056,2512.724825,8.512316366,1924.864031,4624.059876,1933.376348,1933.376348,9126.471329,2281.617832,197,650,1.180120898
198,6.673246147,60.07767937,0.684445337,0.275098185,132.0058114,0.959543522,0.959543522,199.7162805,49.92907012,198,294,52.0341902
199,7.128874367,3884.771801,0.359338092,467.7757948,38.84021804,468.1351329,468.1351329,4398.876026,1099.719007,199,85,2.349148631
200,16.27162962,6851.862352,1665.453332,0.508612991,231.9272192,1665.961945,1665.961945,8766.023146,2191.505786,200,1028,1.315459691
201,18.7138548,575.0155794,9.280920856,38.79314289,515.5866327,48.07406375,48.07406375,1157.390131,289.3475327,201,84,6.018786641
202,62.56524379,46.1583374,559.7455916,45.20793735,465.0780474,604.9535289,604.9535289,1178.755158,294.6887894,202,5,0.487126325
203,8.425481512,156.4435971,317.6672197,20888.991,92.06441614,21206.65822,21206.65822,21463.59172,5365.89793,203,1131,0.253028925
204,8.943524452,498.1185433,0.196010414,1.71687892,902.8421166,1.912889334,1.912889334,1411.817074,352.9542684,204,1199,184.5136894
205,4.81410426,444.0631637,1431.883169,730.5008688,692.6897048,2162.384038,2162.384038,3303.95101,825.9877526,205,1194,0.381980138
206,52.03974513,1924.906204,387.3540206,5976.669385,2863.890562,6364.023406,6364.023406,11204.85992,2801.214979,206,94,0.440164154
207,5.437236433,8.130460759,58.25403035,157.268021,629.7064204,215.5220514,215.5220514,858.796169,214.6990422,207,559,0.996181323
208,4.873741908,35.31400427,68.17263241,63.86002608,311.393031,132.0326585,132.0326585,483.6134357,120.9033589,208,1201,0.915707979
